stable_policy_id,policy_name,B_reported_budget,B_evidence_status,verification_status,official_budget_won,official_dept,official_source_line,note
IC-BIO-002,K-NIBRT 바이오공정 교육과정 운영,UNKNOWN,SECONDARY_PRESS_ONLY,RESOLVED,3000000000,경제자유구역청 혁신성장도시과,바이오공정 인력양성센터 운영지원,인천시 2026 예산 원장(list_excel.xlsx) 대조로 확정. B의 UNKNOWN 해소
IC-BIO-004,바이오 커넥트 기반 혁신생태계 조성사업,UNKNOWN,SECONDARY_PRESS_ONLY,RESOLVED,200000000,반도체바이오과,바이오 커넥트 기반 혁신생태계 조성,인천시 2026 예산 원장 대조로 확정
IC-BIO-006,바이오클러스터 조성 지원,2026년 전년비 1.3억 감액(총액 미확인),SECONDARY_PRESS_ONLY,RESOLVED,600000000,반도체바이오과,바이오클러스터 조성 지원,B가 보도로 확인한 감액 방향과 일치. 총액만 원장으로 확정
IC-BIO-007,바이오기업 해외진출 지원,2026년 전년비 1억 감액(총액 미확인),SECONDARY_PRESS_ONLY,RESOLVED,500000000,반도체바이오과,바이오기업 해외진출 지원,동일
IC-BIO-008,바이오자원 공유 네트워크 활성화 지원,2026년 전년비 0.8억 감액(총액 미확인),SECONDARY_PRESS_ONLY,RESOLVED,100000000,반도체바이오과,바이오 자원공유 네트워크 활성화 지원,동일
IC-SEM-003,인하대 반도체 패키징 대학중점연구소 거점 R&D 대응,UNKNOWN,SECONDARY_PRESS_ONLY,RESOLVED,100000000,반도체바이오과,반도체 패키징 분야 대학중점연구소 지원(국가직접지원),국가직접지원 사업으로 원장에 별도 편성 라인 존재 확인
IC-CAR-002,미래차 산업육성 지원체계 구축,UNKNOWN,SECONDARY_PRESS_ONLY,RESOLVED,2200000000,산업창업정책과,미래자동차산업 육성 지원,정식 사업명이 B 보도명과 다름. 원장 명칭으로 정정 필요
IC-DIG-003,블록체인 허브도시 조성 5개년 계획,총사업비 133억원,PRIMARY_VERIFIED,PARTIALLY_RESOLVED,2722988000,AI혁신과,블록체인 허브도시 조성,B의 133억은 5개년 총사업비. 원장 27.2억은 2026년도 단년 편성액. 상충 아니라 총액 vs 연차 배정의 차이 — B의 evidence_status를 CONFLICTING으로 바꾸면 안 됨
IC-BIO-017,바이오 첨단클러스터 조성(영종구),UNKNOWN,SECONDARY_PRESS_ONLY,NEEDS_REVIEW,600000000,반도체바이오과,바이오클러스터 조성 지원,"IC-BIO-006과 원장상 동일 사업(같은 부서·같은 금액)에 매칭됨. B가 하나의 사업을 두 개 정책ID로 중복 등재했을 가능성 — B 확인 필요"
IC-ROB-005,로보컵 2026 인천 개최,UNKNOWN,SECONDARY_PRESS_ONLY,CONFIRMED_ABSENT,,,,"인천시 2026 예산 원장 전체(3711건)에 '로보컵' 문자열 없음. 국가직접·타 회계연도 편성이거나 아직 미편성. UNKNOWN 유지가 맞음"
