case_id,judge2_value,judge2_rationale
G01,교육훈련,"사업내용: 관내 미래핵심산업군 기업 취업을 위한 실무 교육훈련(3개월) 및 인턴십(3개월)을 통한 취업 연계 지원 — 코딩규칙 '인턴십이 붙어 있어도 교육이 주면 교육훈련'"
G02,18,"지원연령: 18세 ~ 39세"
G03,39,"지원연령: 18세 ~ 39세"
G04,인천,"지원대상: 인천시 거주 18세~39세 이하 구직희망 청년 / 취업연계: 인천 소재 미래핵심산업군 관련 성장유망기업"
G05,,"원문에 근거 없음 — 본문이 '인천광역시 제2차 청년정책 기본계획(2026~2030)을 게시하오니, 많은 관심과 참조바랍니다.'뿐이라 사업내용 자체를 알 수 없는 계획 게시글. 코딩규칙 3에 따라 null 기권"
G06,구직지원,"사업내용: 심층상담, 유형별 분류, 자신감 회복, 진로탐색, 취업역량 강화 등 맞춤형 프로그램 지원 — 구직지원 정의(상담·진로탐색·역량강화 프로그램)와 일치"
G07,구직지원,"정장 대여: 여성/남성용 정장 세트(셔츠/블라우스, 치마/바지) + 구두 — 구직지원 정의에 '정장 대여' 명시"
G08,구직지원,"구직활동에 관련된 직·간접 비용 / 지원금액: 1인 월 50만원씩 최대 6개월 — 구직지원 정의에 '활동비 지원' 명시"
G09,구직지원,"1인 1회, 연 최대 10만원 범위 자격증시험 응시료 지원 — 구직지원 정의에 '응시료 지원' 명시"
G10,매칭,"대학일자리플러스센터 운영비 지원(인하대, 인천대, 재능대, 인하공전) *구직스킬 향상 취업스터디, 직무특강, 커리어 매칭 프로그램 — 코딩규칙 '대학일자리센터 운영 지원 → 매칭'"
G11,교육훈련,"AI 전문과정(50명) 교육명: 바이브코딩 기반 AI 앱 개발 및 프론트엔드 연동 AI 서비스 개발 과정 — 직무능력을 가르치는 교육·훈련 과정"
G12,일경험,"사업내용: 관내 미취업 청년 채용 및 환경기초시설 직무 시행 / 문서 제목 '(인천환경공단)청년 체험형 인턴 운영' — 인턴·현장 체험이 주된 사업"
G13,,"원문에 근거 없음 — '지원규모: 130명'은 인원 규모이고 예산액 표기가 없다. '일 경험(3개월): 참여기업 인턴 시 인건비 지원'에도 금액이 없음. 기권이 맞음"
G14,,"원문에 근거 없음 — '지원규모: 6,000회 예산 범위 내'는 산출(output) 목표이고 취업률·근속률 등 성과지표 기술이 전무. 기권이 맞음"
G15,intentional,"대상 세분이 다름. P004는 '인천: 신청일 기준 주민등록 주소지가 인천이거나, 관내 대학 재(휴)학생' + '고교졸업예정자 포함'으로 재학생을 포함하고 소득 요건이 없다. P005는 '공고일 기준 학교에 재학 중인 자(졸업예정, 유예·수료자 및 휴학생 포함)'을 지원제외하고 '가구 기준 중위소득 50% 초과 ~ 150% 이하인 자' 소득 요건을 둔다. 재학생 포함/제외와 소득기준 유무가 갈리므로 의도적 병행"
G16,"[""SW·AI""]","교육내용 ① 바이브코딩 기반 AI 애플리케이션 기초 구현 ② LLM API 연동 서비스 개발(예: GPT 기반 서비스) ③ LangChain 기반 기능 설계 및 응답 체계 구성 ④ React/Vue 기반 프론트엔드 연동 — 훈련 과정이 가르치는 내용이 AI·SW 개발"
G17,인천,"지원조건: 인천광역시에 거주하는 청년 구직자"
G18,미취업,"취업상태: 미취업자"
G19,,"원문에 근거 없음 — 지원대상·지원자격 어디에도 거주지 요건이 없다. '온라인신청(유유기지 인천 홈페이지- 워크넷)'은 신청 창구 명칭일 뿐 자격요건이 아니며, 주관기관이 인천광역시라는 사실은 추론이지 명시가 아니다"
G20,39,"지원연령: 18세 ~ 39세 (지원대상의 18~34세 본류에 '지역특화청년: 35~39세 청년 등'이 더해져 상한 39세로 일치)"
G21,,"원문에 근거 없음 — '지원연령: 제한없음'"
G22,,"원문에 근거 없음 — '지원연령: 제한없음'"
G23,19,"지원연령: 19세 ~ 34세"
G24,34,"지원연령: 19세 ~ 34세"
G25,채용지원,"근로환경개선을 위한 시설 개보수 및 물품구입 비용 지원 / 지원대상: 인천 소재 중소기업: 청년신규채용 2인 이상 채용 — 채용지원 정의(기업에 주는 채용 인센티브·환경개선 지원)와 일치"
G26,미취업,"취업상태: 미취업자"
G27,미취업,"취업상태: 미취업자"
G28,,"원문에 근거 없음 — 본문이 게시 안내문 한 문장뿐이고 개입 수단(사업 내용)이 전혀 기술되지 않음. 기권이 맞음"
G29,,"원문에 근거 없음 — '지원규모: 600명'은 산출 목표이고 취업률 등 성과지표가 없음. 기권이 맞음"
G30,,"원문에 근거 없음 — 사업내용 자체를 알 수 없는 계획 게시글이므로 코딩규칙 3의 '사업내용 자체를 알 수 없는 문서(계획 게시글 등)만 null로 기권한다'에 해당"
G31,intentional,"대상 세분과 직무가 다름. P001은 '지원대상: 인천시 거주 18세~39세 이하 구직희망 청년' + '취업상태: 미취업자'이고 훈련내용이 '경영일반(회계,인사,총무, 기획 등), 홍보· 마케팅· 영업 등'(일반사무)이다. P009는 '지원대상: 인천 관내 시민' + '지원연령: 제한없음'이고 '산업분야 재직자 과정(50명)'으로 재직자를 포함하며 내용은 AI·SW 개발이다. 연령·취업상태·직무가 모두 갈리므로 의도적 병행"
