"signal_id","strategic_industry","problem_type","industry","occupation_or_function","geography","period","value","unit","population_definition","source_url","evidence_grade","proxy_limit","sustained_or_spike"
"D-001","공통","인력","제조업 전반","산업기술인력","인천광역시(시도)","최근 조사연도","1138","부족인원(명)","고졸 이상 학력자로 연구개발·기술직·생산·정보통신 관리자 및 임원","https://www.incheonilbo.com/news/articleView.html?idxno=1328735","A","시도 단위이며 6대 산업 어느 것으로도 분해되지 않음. 산업별 배분은 추정 불가","SUSTAINED"
"D-002","공통","인력","제조업 전반","공학계열","인천광역시","최근 조사연도","480","부족인원(명)","D-001의 하위 구분","https://www.incheonilbo.com/news/articleView.html?idxno=1328735","A","계열 구분일 뿐 직무 구분이 아님","SUSTAINED"
"D-003","공통","인력유출","전략산업 전반","기술인재","인천광역시","2026","정성","서술","인천 기술인재의 수도권 타지역 이동","https://www.incheonilbo.com/news/articleView.html?idxno=1328735","C","'기술인재 서울행'은 언론 표제 수준. 유출률·순이동 정량치 미확보. 인천인자위 기본계획 원문 필요","SUSTAINED"
"D-004","공통","인력-직무전환","기계·금속·전기전자 기반제조업","재직자","인천광역시","2026","정성","서술","스마트화·고부가가치 전환 대상 재직자","https://www.incheonilbo.com/news/articleView.html?idxno=1328735","B","인천인자위 기본계획 분석 결과이나 원문 미확보. 대상 인원 규모 불명","SUSTAINED"
"D-005","공통","행정경계 단절","전체","해당없음","인천광역시","2026-07-01","2군8구 → 2군9구","행정구역","제물포구·영종구 신설, 서구→서해구·검단구 분구","https://www.incheon.go.kr/IC01070101","A","수요 신호가 아니라 데이터 구조 경보. 2026-07-01 전후 군구 단위 시계열이 단절되며 지방재정365 자치단체코드도 변경됨","SPIKE"
"D-101","바이오","인력-질적미스매치","바이오","석·박사급 전문인력","전국(인천 미분해)","시점 확인 필요","정성","서술","보건의료 바이오 가치사슬 단계별 전문인력","https://scienceon.kisti.re.kr/srch/selectPORSrchReport.do?cn=TRKO201800036147","B","전국 단위, 보고서 시점 오래됨. 인천 적용 시 지역 보정 근거 없음","SUSTAINED"
"D-102","바이오","산업구조-대기업편중","제약·바이오","해당없음","인천광역시","2026","61.8","%(정의 원문 확인 필요)","한국은행 인천본부 조사연구보고서 기준","https://www.kyeongin.com/article/1767001","B","61.8%의 분모·분자 정의를 언론보도로 확인 불가. 원문 필수","SUSTAINED"
"D-103","바이오","금융","바이오","해당없음","인천광역시","2026","정성","서술","인천 바이오 벤처·스타트업","https://www.kyeongin.com/article/1767001","B","'판교 대비 VC 인프라 부족'은 비교 서술. VC 투자건수·금액 정량치 미확보","SUSTAINED"
"D-104","바이오","공급망","바이오 소부장","해당없음","인천광역시","2026","정성","서술","바이오의약품 제조 원부자재 공급업체","https://www.kyeongin.com/article/1767001","B","국산화율 수치 미제시. 역내 수급률 지표 별도 확보 필요","SUSTAINED"
"D-105","바이오","기술","바이오 소부장","해당없음","인천광역시","사업기간(종료)","10건 신청 / 4건 선정","과제수","인천 관내 바이오기업 기술수요 신청","https://scienceon.kisti.re.kr/srch/selectPORSrchReport.do?cn=TRKO202500010493","B","충족률 40%로 보이나 신청 자체가 사업 인지도에 좌우되는 자기선택 표본. 미신청 수요 미포착","SPIKE"
