"stable_policy_id","version","strategic_industry","policy_name","status","owner_department","executor","target","problem","intervention","industry","occupation","skill","geography","application_period","delivery_period","budget","budget_source","kpi","reported_result","upstream_policy","downstream_policy","source_url","evidence_status"
"IC-BIO-001","2026-08-13","바이오","한국형 바이오공정·개발 전문인력양성센터 구축(K-NIBRT) - 시설구축","종료","산업통상부/보건복지부","인천경제자유구역청, 연세대 K-NIBRT사업단, 인천테크노파크","바이오공정 예비취업자/재직자/경력보유자","바이오의약품 생산 전문인력 부족(2020 사업지 선정 사유)","GMP 수준 실습시설 구축(6,600㎡)","바이오의약품 제조","생산/공정/QA/QC","배양-정제-분석","연수구 송도 연세대 국제캠퍼스","해당없음","2020-10 선정 / 2023 착공 / 2025-11-25 개소","CONFLICTING: 677억(산218+복173+시286) vs 434억(국비222 포함) vs 약500억","국비+시비","연 2,000명 배출(구축사업 KPI인지 불명)","2025-11-25 개소 완료","바이오헬스 인력양성 국가정책(2020)","IC-BIO-002","https://www.hitnews.co.kr/news/articleView.html?idxno=71356 | https://www.munhwa.com/article/11549334","CONFLICTING_FIGURES"
"IC-BIO-002","2026-08-13","바이오","K-NIBRT 바이오공정 교육과정 운영","운영","보건복지부/산업통상부","연세대 K-NIBRT사업단(교육), 인천시·경제청·인천TP(시설운영)","예비취업자, 경력단절자, 재직자, 여성과학자, 고교생","현장 실습형 바이오공정 인력 공급 부족","15개 이상 맞춤형 과정, 석사급 학위과정 포함","바이오의약품 제조","생산/공정/QA/QC/규제업무","항체·mRNA 공정, 세포치료제","연수구 송도","수시","2021~(온라인)/2025-11~(실습)","UNKNOWN","국비+시비(001과 분리 여부 불명)","연 2,000명 이상","누적 881명(2023 시점) — 최신치 미확인","IC-BIO-001","UNKNOWN","http://knibrt.com/education/edu0402.php | https://www.ngonews.kr/news/articleView.html?idxno=219240","SECONDARY_PRESS_ONLY"
"IC-BIO-003","2026-08-13","바이오","글로벌 바이오 인력양성 허브(GTH-B) 생산공정 기본교육","운영","보건복지부(WHO 협력)","인천경제자유구역청","개발도상국 등 해외 교육생","글로벌 백신·바이오의약품 생산인력 부족","백신·바이오의약품 생산공정 기본교육","바이오의약품 제조","생산/공정","생산공정 기본","연수구 송도","UNKNOWN","2024~","UNKNOWN","UNKNOWN","UNKNOWN","ADB 협력 개도국 59명 교육, 40명 추가 예정(2023)","UNKNOWN","UNKNOWN","https://www.businesskorea.co.kr/news/articleView.html?idxno=257225","SECONDARY_PRESS_ONLY"
"IC-BIO-004","2026-08-13","바이오","바이오 커넥트 기반 혁신생태계 조성사업","운영","인천시 미래산업국 반도체바이오과","인천테크노파크(추정)","셀트리온 등 선도기업 + 국내외 중소기업/스타트업","대기업 편중 구조, 선도-중소기업 연결 부재","개방형 혁신(기술이전, 공동연구, PoC, 글로벌 마케팅)","바이오","해당없음","해당없음","인천 전역 + 동북아","2026 공고별 상이","2026~(신규)","UNKNOWN","시비(추정)","UNKNOWN","미발표(1년차)","인천 6대 전략산업 육성 종합계획","IC-BIO-005","https://www.dongbangilbo.co.kr/news/articleView.html?idxno=82711","SECONDARY_PRESS_ONLY"
"IC-BIO-005","2026-08-13","바이오","2026년 바이오 커넥트 - 글로벌 오픈이노베이션 액셀러레이터 모집","모집","인천광역시","비즈OK 접수(운영기관 미확인)","인천 소재 액셀러레이터(AC)","선도기업 기술수요-스타트업 중개역량 부재","AC 선정 후 스타트업 발굴·기술협력 위탁, 바이오차이나 참가","바이오","해당없음","해당없음","인천 소재 AC","2026-01 공고(마감 원문확인 필요)","2026","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","IC-BIO-004","UNKNOWN","https://bizok.incheon.go.kr/open_content/support.do?act=detail&policyno=6740","PRIMARY_VERIFIED"
"IC-BIO-006","2026-08-13","바이오","바이오클러스터 조성 지원","운영","인천시 반도체바이오과","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","바이오","UNKNOWN","UNKNOWN","인천","UNKNOWN","계속사업","2026년 전년比 1.3억 감액(총액 미확인)","시비","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-BIO-007","2026-08-13","바이오","바이오기업 해외진출 지원","운영","인천시 반도체바이오과","UNKNOWN","인천 바이오기업","해외 판로·네트워크 부족","해외 박람회 참가 등(추정)","바이오","해당없음","해당없음","인천","UNKNOWN","계속사업","2026년 전년比 1억 감액(총액 미확인)","시비","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-BIO-008","2026-08-13","바이오","바이오자원 공유 네트워크 활성화 지원","운영","인천시 반도체바이오과","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","바이오","UNKNOWN","UNKNOWN","인천","UNKNOWN","계속사업","2026년 전년比 0.8억 감액(총액 미확인)","시비","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-BIO-009","2026-08-13","바이오+디지털데이터","양자바이오 센싱솔루션 실증·컨설팅 사업","결정","인천시(과기정통부 공모 선정)","UNKNOWN","바이오·양자 융합 기업","양자-바이오 융합 실증 기반 부재","실증 및 컨설팅","바이오+양자","해당없음","해당없음","인천","UNKNOWN","2026~","2026년 2.7억 신규편성","국비(과기정통부)+시비","UNKNOWN","해당없음(신규)","정부 양자클러스터 지정 추진","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-BIO-010","2026-08-13","바이오","인천TP 바이오 장비 구축·운영 및 사용지원","운영","인천시(추정)","인천테크노파크 바이오사업단","인천 바이오·헬스케어 기업","중소기업 고가 장비 접근성 부족","70여종 장비 개방, 시험분석·인증·전임상·시생산·실증, 기능성화장품 세포효능평가","바이오의약·의료기기·식품·화장품","해당없음","해당없음","인천","상시(추정)","계속","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.itp.or.kr/intro.asp?tmid=139","PRIMARY_VERIFIED"
"IC-BIO-011","2026-08-13","바이오","인천바이오헬스밸리 추진협의회 / 바이오아시아 국제교류협의회","운영","UNKNOWN","인천테크노파크","시·경자청·TP·대학·병원·연구소·기업","지역혁신기관 간 협업 네트워크 부재","협의회 운영, 발전전략·정책 반영","바이오","해당없음","해당없음","인천","해당없음","계속","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.itp.or.kr/intro.asp?tmid=139","PRIMARY_VERIFIED"
"IC-BIO-012","2026-08-13","바이오","인천대학교 바이오융합 기업협업센터(ICC)","운영","교육부(LINC3.0→RISE 승계)","인천대학교","인천 바이오기업 + 인천대 학생","지역 전략산업-대학 교육 연계 부족","기업협업센터 운영, 산학 융합교육","바이오","고급 실무인재","바이오 융합","연수구 인천대","UNKNOWN","LINC3.0(~2024) → RISE(2025~2029)","UNKNOWN","국비+시비","UNKNOWN","UNKNOWN","LINC 3.0","IC-COM-002","https://news.unn.net/news/articleView.html?idxno=580072","SECONDARY_PRESS_ONLY"
