dataset_id,dataset,local_file,provider,보유여부,fields,geography,time_unit,actual_update_cycle,확인된_규모,join_key,known_bias,usable_for,snapshot_ready,MVP_역할
D01,인천 청년정책 시행계획 2026,2026년_인천광역시_청년정책_시행계획.pdf,인천광역시 청년정책담당관,보유(로컬),"과제번호,과제명,분야,주요내용,2025·2026 예산(국비/시비/군구비/기타/청년),사업대상,연령,사업내용,사업비,수행기관,성과지표 목표·실적(’25~’30),측정산식,자료수집방법",인천광역시,연,연 1회(매년 1월),"349p, 5대 분야 90개 사업(일자리31·교육17·주거11·금융복지문화21·참여기반10), 총 255,038백만원(청년 196,818백만원)",과제명(문자열),계획서 기준값이라 실집행과 다를 수 있음; 군구 자체사업 미포함,input(정책 원장),TRUE,주 코퍼스
D02,인천 제2차 청년정책 기본계획(2026~2030),인천광역시_제2차_청년정책_기본계획(2026~2030).pdf,인천광역시,보유(로컬),"정책방향,비전,추진내용,재정계획(안),단위사업계획서,청년실태조사(2025) 요약",인천광역시,5년,5년 1회,"225p, 붙임1 청년 2,000명 실태조사",과제명,계획 문서(집행 아님),input(상위 근거),TRUE,근거 보강
D03,인천 본청 사업 및 예산정보,list_excel.xlsx,인천광역시,보유(로컬),"회계구분,부서명,세부사업명,사업구분,예산소계,국비,시비,편성액,이월액,예산변경,수입대체경비,지출액,집행잔액,분야",인천 본청,연(집행 누계),수시,"3,711개 사업 × 171개 부서; 청년 35건·바이오 13건·일자리 23건; 집행잔액 음수 221건, 지출 0원 595건","세부사업명, 부서명",본청 일반·특별회계 중심으로 군구 사업·국가직접사업 미포함,input+outcome,TRUE,주 분석축
D04,인천 세부사업별 세출현황 스냅샷,세부사업별 세출현황.csv,지방재정365/인천광역시,보유(로컬),"회계연도,지역명,자치단체코드,자치단체명,회계구분,세부사업명,집행일자,예산현액,국비,시도비,시군구비,기타,지출액,편성액,분야,부문",인천 12개 자치단체,일,일,"18,855행, 집행일자 20260812 단일 스냅샷, 세부사업 14,777종, 청년 키워드 131종·바이오 9종","자치단체명, 세부사업명, 분야/부문코드",단일 시점 스냅샷이라 연간 집행률로 해석 금지,input+outcome,TRUE,지역격차 축
D05,전국 세부사업별 세출현황 6개년,2020~2025_세부사업별세출현황.xlsx,지방재정365,보유(로컬),"지역,자치단체,회계,세부사업명,예산현액(계/국비/시도비/시군구비/기타),지출액,집행잔액,분야,부문",전국(인천 필터),연,연 1회,"인천 17,014→18,279행/년, 본청 3,237→3,605건/년; 청년사업 100→204→180건; 바이오 1→9→7건; 본청 사업 2025년 신규 486·종료 557","세부사업명, 연도",사업명 표기 변경 시 동일 사업이 신규·종료로 오판정될 수 있음,input+outcome,TRUE,시계열 축
D06,인천 결산 총괄 자료,3·5·7·9·11·13·15번 PDF,인천광역시,보유(로컬),"세입결산,세출결산,보조금 집행현황,전년대비 결산,기금조성,예산 성과보고서,재무제표",인천광역시,연,연 1회,7종 PDF,분야/부문,집계표 중심으로 사업 단위 결합 어려움,참고,FALSE,보조 근거
D07,청년정책(조정)위원회 개최결과,2020~2026년 위원회 결과 PDF 10건,인천광역시,보유(로컬),"개최일,안건,심의결과,위원 구성",인천광역시,연 1~2회,연 1~2회,"2020년 1회~2026년 2회, 총 10건",연도,요약 문서라 발언 원문 일부만,참고(A파트 이관),TRUE,A파트 근거
D08,인천 공장등록 현황,인천광역시_공장등록 현황_20241231.csv,인천광역시,보유(로컬),"단지명,회사명,시군구,주소,전화번호,종업원수,최초등록일,업종번호(KSIC),업종명,생산품",인천 10개 군구,연,연 1회,"14,006개 공장; 바이오 관련(KSIC 21x 또는 의약·생물·바이오 키워드) 73개(남동20·연수16·부평13·서11·미추홀8·강화4·계양1)","업종번호, 시군구",등록 공장만(연구소·서비스 제외); 전화번호 포함,input,TRUE,산업 축(보조)
D09,인천 바이오기관 현황,인천광역시_바이오기관 현황.csv,인천광역시,보유(로컬),"지역,구분,기업명,주요분야(또는 관련학과)",인천 9개 군구,비정기,비정기,26건 — 학교14·연구소7·공공기관4·연구원1(기업 0건),지역,기업이 아니라 기관·학과 중심이라 산업 수요 대리지표로 부적합,참고,TRUE,제한적
D10,산업단지 입주기업/산업단지 현황,산업단지 입주기업 현황(2025. 5월 기준).xlsx / 인천광역시_산업단지현황_20241231.csv,한국산업단지공단/인천광역시,보유(로컬),"단지명,회사명,시군구,주소,종업원수,대표업종번호,업종번호,업종명,생산품 / 산업단지명,준공년도,조성면적,입주업체,등록업체,종업원,관리기관",인천,연,연,입주기업 명부 + 산업단지 요약,"업종번호, 단지명",2025-05 기준 시차,input,TRUE,산업 축(보조)
D11,시군구 경제활동인구·실업률,시군구_경제활동인구_총괄_*.csv / 실업률_시_군_구_*.csv,통계청,보유(로컬),"15세이상인구,경제활동인구,취업자,실업자,비경제활동인구,경제활동참가율,고용률,15~64세 고용률,실업률",인천 10개 군구,반기,반기,2025년 2/2 기준,자치단체명,청년 연령대 분리 불가; RSE 미표기 다수,input,TRUE,지역격차 축
D12,시도 고용률·실업률·실업자수·구직급여,고용률_시도_*.csv / 실업률_시도_*.csv / 실업자수_시도_*.csv / 구직급여_신청자수_시도_*.csv,통계청/고용노동부,보유(로컬),"시도별,성별,월별 값",전국 시도,월/분기,월,2026.02~2026.07,시도명,시도 단위라 인천 내부 분해 불가,참고,TRUE,배경 지표
D13,인천 구인구직취업현황(월),구인구직취업현황(월)_1786601447254.xlsx,한국고용정보원,보유(로컬),"시도,구인인원(월),구직건수(월),취업건수(월)",인천 총계,월,월,"2026.06 1개월치 — 구인 10,341 / 구직 26,251 / 취업 8,408. 직종·산업 구분 없음",없음(총계),직종 축 부재로 미스매치 판정 불가,제한적,TRUE,미스매치 병목
D14,시군구 산업별 고용(빈일자리·입직·이직),행정구역_시군구__산업별_고용_20260813152950.csv,고용노동부,보유(로컬),"지역별,산업별,전체종사자,빈일자리,빈일자리율,입직자,입직률,이직자,이직률",인천 10개 군구,반기,반기,10행 — 산업별 컬럼이 ‘전산업’ 단일값. 산업 분해 없음,자치단체명,산업 축이 실질적으로 없음,제한적,TRUE,미스매치 병목
D15,인천 제조업 중분류별 사업체수·종사자수,인천광역시_ 제조업 중분류별 사업체수 및 종사자수_20221231.csv,통계청,보유(로컬),"군구별,제조업중분류별,사업체수,종사자수",인천 10개 군구,연,연,2022-12-31 기준 — 3년 이상 시차,제조업 중분류,시차 큼; 결측(NaN) 존재,참고,TRUE,보조
D16,청년 고용률 시계열,청년 고용률.xlsx,통계청,보유(로컬),"연도,15-29세,30-34세 고용률",전국,연,연,2010년~,연도,전국 값이라 인천 진단 불가,배경,TRUE,배경 지표
D17,사업체노동력조사,establishments_company.zip,고용노동부,보유(로컬),전국 사업체 노동력 동향·사업체 조사표,전국,월,월,2026.7월분,없음,전국 집계,배경,TRUE,배경 지표
D18,워크넷 채용정보 API,—,한국고용정보원,미보유(API 미수집),"구인인증번호,회사명,업종,채용제목,급여,근무지역,근무형태,학력,경력,등록·마감일자,직종코드",전국(지역필터),일,실시간,미수집 — 서비스키 발급 필요,"직종코드, 근무지역",워크넷 등록 공고만,input(미확보),FALSE,미스매치 승격 조건
D19,워크넷 NCS 직무데이터사전 API,—,한국고용정보원,미보유(API 미수집),"NCS 대/중/소/세분류 코드·명, 능력단위",전국,수시,수시,미수집,NCS 직종코드,NCS 체계 기준,input(미확보),FALSE,미스매치 승격 조건
D20,고용형태별 근로실태조사 조사표,employment.zip,고용노동부,보유(데이터 아님),조사표 서식(xlsx·pdf),전국,—,—,설문지 3종 — 통계값 없음,없음,조사표일 뿐 데이터 아님,사용 불가,FALSE,폐기 권고
