organization,department,team,role_title,public_name_if_any,statutory_function,decision_right,document_owned,public_contact,source_url,as_of,confidence
인천광역시,미래산업국,반도체바이오과,팀장/주무관,바이오산업팀,"바이오·반도체 정책 수립, 바이오특화단지 및 소부장 육성",사업계획 발의·예산 요구·공모 대응,바이오산업 종합계획·사업계획서·보조금 집행지침,032-440-4282,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,미래산업국,미래모빌리티과,팀장/주무관,미래차/항공팀,"자율주행·미래차·PAV/UAM 육성 및 전환 지원",모빌리티 지원사업 발의·공모 추진,모빌리티 육성계획·기업지원 공고문,032-440-4312,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,미래산업국,로봇항공과,팀장/주무관,로봇산업팀,"로봇진흥시설 운영, 물류로봇 실증, 항공산업 육성",로봇·항공 R&D 및 실증예산 요구,로봇산업 진흥계획·실증사업 지침,032-440-4322,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,미래산업국,AI블록체인과,팀장/주무관,AI융합팀,"AI·블록체인·스마트시티 소프트웨어 생태계 조성",AI 융합 지원사업 발의 및 과제 선정,디지털 혁신계획·AI 실증 공고문,032-440-4342,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,해양항공국,항만공항정책과,팀장/주무관,물류정책팀,"스마트 물류 거점 조성, 항만·공항 인프라 및 물류산업 육성",물류 지원사업 계획 발의 및 예산 요구,물류 기본계획·물류기업 지원공고,032-440-4842,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,정무부시장직속,청년정책담당관,팀장/주무관,청년일자리팀,"청년정책 기본계획 수립, 청년 일자리 및 역량강화 총괄",청년정책 조정위원회 상정·청년예산 총괄,제2차 청년정책 기본계획·연도별 시행계획,032-440-2882,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,기획조정실,교육협력담당관,팀장/주무관,RISE추진팀,"지역혁신중심 대학지원체계(RISE) 총괄 및 지산학 협력",RISE 예산 배분 및 대학 연계 사업 승인,인천 RISE 기본계획·성과협약서,032-440-2142,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시,기획조정실,예산담당관,팀장/주무관,예산1/2팀,"시 본예산 및 추경 예산안 편성, 사업 타당성 및 예산 심사",부서별 예산요구안 삭감/증액/승인 결정,인천광역시 본예산안·추경예산안,032-440-2252,https://www.incheon.go.kr,2026-08-13,HIGH
인천광역시의회,산업경제위원회,전문위원실,수석전문위원,산경위 전문위원,"미래산업국·해양항공국 소관 조례 및 예산안 심사",예산안 수정권(삭감/비목 신설 시 동의),예산안 심사보고서·상임위 회의록,032-440-8352,https://www.incheon.go.kr/council,2026-08-13,HIGH
인천테크노파크,바이오센터/미래차센터/로봇센터,센터장/팀장,전담PD/팀장,"인천시 위탁사업 수행, 기업 지원, 인력양성 실무 운영",위탁사업 세부 실행계획 수립 및 집행,기업 지원공고문·수행결과 보고서,032-260-0600,https://www.itp.or.kr,2026-08-13,HIGH
