evidence_id,claim,claim_status,evidence_grade,publisher,document_title,canonical_url,published_at,retrieved_at,page_or_section,supporting_text,data_type,coverage_limit,used_in_slide,owner,review_status
E001,"인천대·울산대 초광역 해커톤 심사 배점은 AI 30 / 지역문제 30 / 창의성 30 / 발표 10이다",사실,A,운영사무국,참가자 안내자료,,2026-08-12,2026-08-13,1장 심사기준,"AI 기술 활용성·완성도 30 / 지역문제 해결성 30 / 창의성·혁신성 30 / 발표 전달력 10",N/A,대회 내부 자료,,Claude,확정
E002,"배정 주제 I3은 청년 인재 유출 및 지역 산업·정책 연계 부족이다",사실,A,운영사무국,참가자 안내자료,,2026-08-12,2026-08-13,2장 해커톤 과제,"청년-지역기업 정보 비대칭, 지원 정책이 부서별 분산",N/A,대회 내부 자료,,Claude,확정
E003,"인천 바이오산업 육성·지원 소관은 미래산업국 반도체바이오과이다",사실,B,인천광역시,인천시 조직도,https://www.incheon.go.kr/IC040007,,2026-08-13,조직도,,N/A,인사이동 가능·확인일 병기 필요,,조사자A,미검증
E004,"인천시는 2026년 바이오·디지털헬스 산업 육성 종합계획(2027~2031) 수립 연구용역을 발주했다",사실,B,인천광역시,입찰공고,https://www.incheon.go.kr/IC010307/view?curPage=&gosigbn=A&sno=65861,,2026-08-13,공고문,,N/A,,,조사자A,미검증
E005,"최근 인천 청년은 주민등록 주소 기준으로 순유입 경향이다",사실,,KOSIS,국내인구이동통계,https://kosis.kr,,,,,real,"주소이동 기준. 취업이동과 다름",문제 재정의,조사자B,미수집
E006,"인천 거주 청년 상당수가 관외로 통근하며 직무·임금 차이가 역외취업 사유로 조사되었다",사실,,인천연구원,,,,,,,real,,문제 재정의,조사자B,미수집
E007,"인천 바이오·청년일자리 분야 세부사업 중 계속사업이 신규사업보다 건수·금액 비중이 크다",추론,,지방재정365,,https://www.data.go.kr/data/15059434/openapi.do,,,,,real,"D-003 근거3 검증용",기존사업 개선이 다수,조사자B,미수집
E008,"인천 제2차 청년정책 기본계획(2026~2030) 전체 69개 사업 중 계속 51·확대 8·신규 10으로 계속·확대 기반이 85.5%다",사실,B,인천광역시,인천광역시 제2차 청년정책 기본계획,https://youth.incheon.go.kr/bbs/bbsMsgDetail.do?bcd=data&msg_seq=22,,2026-08-13,사업목록,"계속 51 / 확대 8 / 신규 10",real,"인천 청년정책 포트폴리오 한정. 전국 일반명제로 확대 금지. 인천시 전체 본예산 대표 아님",기존사업 기준점이 실제 빈도와 일치,조사자B,확정
E009,"인천 청년정책 일자리 분야 21개 사업 중 계속·확대 17개로 81.0%다",사실,B,인천광역시,인천광역시 제2차 청년정책 기본계획,https://youth.incheon.go.kr/bbs/bbsMsgDetail.do?bcd=data&msg_seq=22,,2026-08-13,사업목록 일자리 분야,"계속 14 / 확대 3 / 신규 4",real,"동 계획 내 분야 소계",기존사업 기준점,조사자B,확정
E010,"인천 청년정책 교육·훈련 분야 13개 사업 중 계속 12개로 92.3%다",사실,B,인천광역시,인천광역시 제2차 청년정책 기본계획,https://youth.incheon.go.kr/bbs/bbsMsgDetail.do?bcd=data&msg_seq=22,,2026-08-13,사업목록 교육훈련 분야,"계속 12 / 신규 1",real,"동 계획 내 분야 소계",기존사업 기준점,조사자B,확정
E011,"인천시 2027년 국비 확보 중점관리 67건 중 신규 17·계속 50이며 요청액 기준 신규는 약 2.8%다",사실,B,인천광역시,2027년 국비 확보 중점관리 사업 보도자료,https://www.incheon.go.kr/IC010205/view?curPage=1&repSeq=DOM_0000000014430446,,2026-08-13,보도자료,"신규 648억 원 / 계속 2조 2220억 원",real,"국비 확보 중점관리 사업군 한정. 인천시 전체 본예산·집행 포트폴리오 아님",보조근거,조사자B,확정
E012,"인천 청년도약기지 생산·품질관리 과정은 바이오 전용이 아니라 산업횡단형 과정이다",사실,B,인천광역시,인천 청년도약기지 공식 안내,https://youth.incheon.go.kr/job/leap.jsp,,2026-08-13,과정 안내,,real,"공식 사업명을 바이오 트랙으로 바꿔 부르지 말 것",기준사업 소개,조사자B,확정
E013,"인천시 조직개편이 2026년 8월 시행되어 반도체바이오과·청년정책담당관의 소속 본부 명칭이 변경될 수 있다",추론,C,시정일보 등,언론 보도,https://www.sijung.co.kr/news/articleView.html?idxno=432409,2026-07-03,2026-08-13,,,real,"개편 후 사무분장 재확인 필요. 추론 단계",확인일 병기 근거,조사자A,미검증
E014,,,,,,,,,,,,,,,
