no,과제번호,과제명,담당부서,전화번호,PDF_페이지
1,1--인천-1,인천 청년도약기지(취업아카데미),청년정책담당관,032-440-4177,30
2,1--인천-2,드림나래(인천청년 면접복장 지원),청년정책담당관,032-440-4179,33
3,1--인천-3,인천 청년 자격증 응시료 지원사업,청년정책담당관,032-440-4173,36
4,1--인천-1,구직 활동 청년 지원을 위한 드림체크카드,청년정책담당관,032-440-2887,39
5,공통,청년도전 지원사업,청년정책담당관,032-440-2888,42
6,1--인천-1,인천시 일자리센터 운영,경제정책과,032-440-4274,45
7,1--인천-2,공공기관 청년 아르바이트 운영,자치행정과,032-440-2434,49
8,1--인천-3,공공기관 청년 체험형 인턴 운영,인천환경공단,032-451-2075,54
9,1--인천-4,국제기구 직업체험 프로그램,국제협력과,032-440-3234,58
10,1--인천-5,국제기구 진출 아카데미,국제협력과,032-440-3243,61
11,공통,대학일자리플러스센터 운영지원,청년정책담당관,032-440-4178,65
12,2--인천-1,인천 청년 고용안심 지원,청년정책담당관,032-440-4178,68
13,2--인천-2,인천 재직청년 복지포인트 지원,청년정책담당관,032-440-4179,71
14,공통,지역혁신중심 대학지원체계(RISE) 추진,교육협력담당관,032-440-2164,74
15,2--인천-1,인천 농어촌 청년 프로그램 지원,청년정책담당관,032-440-4177,77
16,공통,청년농업인 영농 정착 지원,농축산과,032-440-4362,81
17,2--인천-1,청년농업인 영농 스타트업 지원,농축산과,032-440-4362,84
18,2--인천-2,청년농업인4-H연합회 활동지원,농촌자원과,032-440-6932,87
19,공통,청년어업인 영어정착지원,수산기술지원센터,032-458-7462,92
20,3--인천-1,청년고용 우수기업 근로환경 개선지원,청년정책담당관,032-440-4179,96
21,공통,산업단지 노후공장 청년친화 리뉴얼,산업입지과,032-440-4269,99
22,4--인천-1,신개념 세대융합 청년창업 지원,산업창업정책과,032-440-3283,102
23,4--인천-2,대학주도형 청년창업 플랫폼 운영,산업창업정책과,032-440-3283,106
24,4--인천-3,청년 소셜벤처기업 육성 사업,산업창업정책과,032-440-3283,109
25,4--인천-4,청년창업 특례보증 및 이차보전,소상공인정책과,032-440-1742,113
26,4--인천-5,청년 사회적경제기업 창업지원사업,사회적경제과,032-440-4912,117
27,4--인천-6,스포츠산업 창업지원,체육진흥과,032-440-4324,120
28,4--인천-7,인천스타트업파크 청년을 위한 창업지원,경제자유구역청 혁신성장도시과,032-453-7344,124
29,공통,인천콘텐츠 코리아랩 운영,문화정책과,032-440-3992,129
30,4--인천-1,"인천혁신모펀드 운영(청년벤처,창업기업투자유치 펀드지원사업)",산업창업정책과,032-440-4252,132
31,4--인천-2,청년 해외진출기지 지원,산업창업정책과,032-440-3283,135
1,1--인천-1,SW·AI기술 활용인력 양성교육,AI혁신과,032-440-4944,142
2,1--인천-1,청년 콘텐츠 우수인재 양성,문화정책과,032-440-3993,146
3,1--인천-2,친환경 자원순환센터 청년 교육 및 환경분야 실무인재 양성,자원순환과,032-440-3594,149
4,1--인천-3,인천형 공공간호사 장학사업,보건의료정책과,032-440-2754,153
5,1--인천-4,의료 코디네이터 양성 및 지원사업,보건의료정책과,032-440-2737,157
6,1--인천-5,지역형 마이스 전문인력 양성 프로그램,관광마이스과,032-440-4104,160
7,공통,산업혁신 인재성장지원(해외연계),반도체바이오과,032-440-4299,163
8,공통,화이트바이오산업 전문인력 양성,반도체바이오과,032-440-3103,167
9,공통,산학융합지구 촉진지원사업 대학생 현장맞춤형 교육,항공과,032-440-4809,170
10,공통,반도체 패키징 분야 대학중점연구소 지원,반도체바이오과,032-440-4297,174
11,공통,지역지능화 혁신인재 양성사업,반도체바이오과,032-440-4299,177
