case_id,scope,test_type,input_a,input_b,expected_label,expected_evidence,accepted_alternative,prohibited_claim,왜_이_사례인가,source,reviewer_1,reviewer_2,agreement_status
C3-001,"청년정책(방법론검증용, 6대산업 범위 밖)",표기 변형 매칭,인천 청년도약기지(취업아카데미),"인천 청년도약기지(취업 아카데미) [청년정책담당관, 1,169,200,000원]",MATCH,"시행계획 p22 과제 1--인천-1 / list_excel.xlsx 청년정책담당관 행. 시행계획 사업비 1,168백만원과 예산 1,169,200,000원 근사 일치",없음,두 사업이 별개라고 단정,괄호 안 띄어쓰기만 다른 동일 사업 — 정규화 없는 완전일치 매칭이 놓치는 참 사례,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-002,"청년정책(방법론검증용, 6대산업 범위 밖)",접미어 변형 매칭,청년 문화예술패스,"청년 문화예술패스 지원 [문화정책과, 741,195,000원]",MATCH,시행계획 p24 금융·복지·문화 17번 / list_excel.xlsx 문화정책과 행,없음,명칭이 달라 다른 사업이라고 단정,‘지원’ 접미어만 추가된 동일 사업,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-003,"청년정책(방법론검증용, 6대산업 범위 밖)",유사문자열 오탐,청년어업인 영어정착지원,청년농업인 영농정착 지원(직접) [농축산과],NO_MATCH,시행계획 p22 일자리 19번(청년어업인)과 16번(청년농업인)은 별개 과제. list_excel.xlsx 수산과에는 청년어업인 사업 미등재,UNVERIFIABLE(본청 예산 미등재로 처리),두 사업이 같은 사업이라고 매칭,문자열 유사도 0.75 기준에서 실제로 오탐이 발생한 사례 — 오탐률 측정의 기준점,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-004,"청년정책(방법론검증용, 6대산업 범위 밖)",유사문자열 오탐,인품 자립주택 운영,"장애인 자립주택 운영 [장애인복지과, 18,000,000원]",NO_MATCH,시행계획 p23 주거 10번은 자립준비청년 대상. list_excel.xlsx 장애인복지과 사업은 장애인 대상,UNVERIFIABLE,대상이 같다고 판단,대상 집단이 다른데 사업명 유사도만으로 매칭되는 사례,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-005,"청년정책(방법론검증용, 6대산업 범위 밖)",1:N 분할 매칭,자립지원전담기관 운영,"자립지원전담기관 운영(자체) 227,256,000 / (자립지원 사업비) 808,006,000 / (인건비) 548,496,000 / 보조인력 지원 13,462,000 [모두 아동정책과]",MATCH_1TO4,list_excel.xlsx 아동정책과 4개 행,MATCH(대표 1건만 연결),1개 예산사업만 연결하고 나머지를 누락,정책 1건이 예산 4건으로 쪼개진 사례 — 1:1 매칭 가정이 예산 규모를 과소 집계하게 만듦,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-006,"청년정책(방법론검증용, 6대산업 범위 밖)",역할중첩 확정,인천형 청년월세 지원사업,"청년월세 지원사업(19~34세) 9,211,000,000 + 인천형 청년월세 지원사업 472,000,000 [모두 청년정책담당관]",OVERLAP,list_excel.xlsx 청년정책담당관 2개 행. 시행계획에는 ‘인천형 청년월세 지원사업’ 1건만 등재(p23 주거 6번),없음,중복 낭비라고 단정(국비사업과 시비사업 구분 없이),동일 부서·동일 기능·동일 대상 2건 병존이면서 정책 목록에는 1건만 잡히는 사례 — 역할중첩과 목록 불일치를 동시에 포함,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-007,"청년정책(방법론검증용, 6대산업 범위 밖)",유사하지만 중복 아님(음성),자립준비청년 자립수당 지급 / 자립준비청년 자립정착금 지원,"자립수당 지급 2,850,000,000 + 자립정착금 지원 680,000,000 [아동정책과]",NOT_DUPLICATE,list_excel.xlsx 아동정책과 2개 행 + 시행계획 p24 금융·복지·문화 7번·9번,없음,동일 대상이므로 중복이라고 단정,대상이 같지만 수단(월 정기 수당 vs 1회 정착금)이 달라 중복이 아닌 음성 사례,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-008,"청년정책(방법론검증용, 6대산업 범위 밖)",자료부족 미확인,청년내일저축계좌 (시행계획 공통과제),(본청 예산에 해당 사업명 없음),UNVERIFIABLE,"시행계획 p23 금융·복지·문화 3번 / list_excel.xlsx 전체 3,711건에 ‘내일저축’ 문자열 없음",NO_MATCH,예산이 편성되지 않았다고 단정,국가직접사업·군구 수행 가능성 때문에 공개자료만으로는 판정 불가한 사례 — 기권이 정답,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-009,"청년정책(방법론검증용, 6대산업 범위 밖)",부서 분산(역할중첩 후보),청년 대상 사업 전반,청년 키워드 35건이 청년정책담당관(16건) 외 자치행정과·복지정책과·아동정책과·농축산과·문화정책과 등 12개 부서에 분포,OVERLAP_CANDIDATE,list_excel.xlsx 세부사업명 ‘청년’ 필터 결과,NOT_DUPLICATE(대상·수단이 다르면 정상 분업),분산 자체를 문제라고 단정,같은 대상에 대한 사업이 여러 부서에 흩어진 상태 — 문제인지 정상 분업인지 사람이 판정해야 하는 경계 사례,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-010,"청년정책(방법론검증용, 6대산업 범위 밖)",최신자료 충돌,인천 청년사업 건수,2020~2025 세출현황 기준 인천 전체 청년사업 100→164→204→180건 vs 2026-08-12 스냅샷 청년 키워드 131종,CONFLICT_DEFINITION,2020~2025_세부사업별세출현황.xlsx / 세부사업별 세출현황.csv,없음,한쪽 숫자만 인용해 청년사업이 줄었다고 단정,집계 시점(연 결산 vs 8월 스냅샷)과 범위(전 자치단체 vs 12개 자치단체)가 달라 충돌하는 사례 — 분모 정의를 강제하는 케이스,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-011,"청년정책(방법론검증용, 6대산업 범위 밖)",부서개편 반영 매칭,가족돌봄청년 지원 / 고립·은둔 청년 지원,"新취약청년(가족돌봄) 전담지원 사업(보조) 877,714,000 / 新취약청년(고립은둔) 전담지원 사업(보조) 567,429,000 [외로움정책과]",MATCH_부서개편,"2026년_인천광역시_청년정책_시행계획.pdf 담당부서 명시 페이지(253,256) / list_excel.xlsx 외로움정책과 행",없음,예산이 편성되지 않았다고 단정,문자열 유사도로는 안 잡히지만 부서명(청년정책담당관→외로움정책과)이 바뀐 것뿐인 진짜 매칭. 표기 정규화보다 담당부서 대조가 필요함을 보여주는 사례,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-012,"청년정책(방법론검증용, 6대산업 범위 밖)",산하기관 소관(미확인 아님),공공기관 청년 체험형 인턴 운영,"(인천 본청 예산 원장에 없음 — 인천환경공단 소관, 032-451-XXXX)",NOT_APPLICABLE_산하기관,2026년_인천광역시_청년정책_시행계획.pdf 담당부서 페이지(54) — 담당부서: 인천환경공단,없음,본청 예산에 없으므로 미확인(UNVERIFIABLE)으로 라벨링,미확인과 산하기관 소관은 다른 라벨이어야 함. 전화번호 국번(032-440 vs 032-451/032-260)으로 본청 여부를 먼저 걸러내야 오분류를 막을 수 있음,청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-013,"청년정책(방법론검증용, 6대산업 범위 밖)",조사 범위 확정(미확인 다수),미매칭 56건 중 50건(항공과 4건 포함),(인천 본청 예산 원장 및 2026-08-12 세출 스냅샷 모두에 없음),NOT_PUBLICLY_VERIFIABLE,C0_policy_budget_join_final.csv — list_excel.xlsx + 세부사업별 세출현황.csv 이중 대조 결과,없음(전화 확인 시 국가직접사업으로 재분류 가능하나 이번 범위에서 보류),예산이 없다/사업이 폐지됐다고 단정,"조사팀이 3일 일정상 전화 확인을 생략하기로 결정한 사례. 시스템은 이 50건에서 반드시 미확인을 출력해야 하고, 임의로 국가직접/군구로 추정 판정하면 안 됨",청년정책 시행계획 90건 대조 작업,PENDING,PENDING,UNREVIEWED
C3-014,6대 전략산업(현재 스코프),역할중첩 후보(신규-기존 예산이전 의심),"바이오 커넥트 기반 혁신생태계 조성사업(IC-BIO-004, 신규)","바이오기업 해외진출 지원(007,-1억)·바이오클러스터 조성 지원(006,-1.3억)·바이오자원 공유 네트워크(008,-0.8억) 동시 감액",OVERLAP_CANDIDATE,"B3 evidence E-04 / C9로 확정된 원장 예산: 004=2억, 006=6억, 007=5억, 008=1억","NOT_DUPLICATE(004는 기술협력·글로벌마케팅 중심, 007은 순수 판로지원으로 기능이 다를 수 있음)",예산이 신규사업으로 이전됐다고 단정,"B가 최우선 검토대상으로 지정한 사례. 신규사업 출범과 기존사업 감액이 동시에 일어나면 예산 이전 의심이 합리적이나, 반대가설(기능 차이)을 배제하지 않은 채 단정하면 안 됨을 보여주는 표준 사례",B4 §4 1순위,PENDING,PENDING,UNREVIEWED
C3-015,6대 전략산업(현재 스코프),정보출처 상충(최신 vs 오래된 자료),"한국형 바이오공정·개발 전문인력양성센터 구축(K-NIBRT, IC-BIO-001)",3개 언론사가 각기 다른 총사업비 보도: 677억(산218+복173+시286) / 434억(국비222 포함) / 약500억,CONFLICTING_FIGURES,"B1 evidence_status=CONFLICTING_FIGURES, 원문(사업계획서·의회 예산서) 미확보 상태",언론보도 중 하나를 임의로 선택해 확정값처럼 제시,가장 최근 보도나 가장 큰/작은 숫자를 정답으로 채택,3개 출처가 서로 다른 숫자를 보도할 때 시스템이 어떻게 반응해야 하는지 보여주는 사례 — 임의 선택이 아니라 상충 상태 자체를 라벨로 출력해야 함,B1 IC-BIO-001,PENDING,PENDING,UNREVIEWED
C3-016,6대 전략산업(현재 스코프),자료부족이 정답인 사례(산업 공백),미래차 산업 지원사업 전체,"수요신호 0건, 정책 3건 중 1건은 성격이 다른 보급사업(친환경차 보급 1,407억)",NOT_PUBLICLY_VERIFIABLE(공백 원인 미판별),"B4 §1 ""미래차가 비어있다"" — 조사실패/정책부재/타사업내포 3개 가설 중 어느 것인지 미확정",가설 중 하나(예: 정책부재)를 정답처럼 확정,"""미래차 산업정책이 없다""고 단정","수요신호 0건이 ""문제 없음""이 아니라 ""조사가 못 미쳤을 수도 있음""으로 해석돼야 하는 표준 사례. 성급한 공백 확정을 막는 데 씀",B4 §1,PENDING,PENDING,UNREVIEWED
C3-017,6대 전략산업(현재 스코프),유사문자열 오탐 방지,로보컵 2026 인천 개최(IC-ROB-005),"예산 원장 문자열 유사도 매칭 시 ""2026 인천마라톤 개최""(체육진흥과,10억)로 오탐 발생",NO_MATCH / UNKNOWN 유지,"C9 검증 — 원장 3,711건 전체에 ""로보컵"" 문자열 자체가 없음을 확인",CONFIRMED_ABSENT(원장에 진짜로 없음),체육 관련 이벤트라는 이유로 마라톤 예산과 매칭시켜 금액을 채워 넣음,"자동 매칭기가 실제로 저지른 오탐. cutoff를 낮추면 이런 사례가 통과되므로, 시스템의 오탐률 지표를 만들 때 반드시 포함해야 하는 음성 사례",C9 IC-ROB-005,PENDING,PENDING,UNREVIEWED
C3-018,6대 전략산업(현재 스코프),중복 등재 의심(같은 원장 라인에 두 정책ID),바이오 첨단클러스터 조성(영종구)(IC-BIO-017),"바이오클러스터 조성 지원(IC-BIO-006)과 원장상 동일 항목(반도체바이오과, 6억원)에 매칭",NEEDS_REVIEW,C9 — 두 정책ID가 원장에서 같은 세부사업명·부서·금액으로 매칭됨,둘 중 하나만 인정하고 다른 하나를 삭제,B에게 확인 없이 하나를 임의로 무효 처리,"데이터 파이프라인이 아니라 사람이 원문(보도자료)으로 재확인해야 하는 경계사례 — ""미확인""과 ""재검토 요청""을 구분해야 하는 이유",C9 IC-BIO-017,PENDING,PENDING,UNREVIEWED
C3-019,6대 전략산업(현재 스코프),공식기록 기반 신뢰도 판정(양성 사례),양자바이오 실증사업(신규),"인천시의회가 ""사업 타당성·기업 수요·실증 효과에 대한 구체적 설명이 필요하다""고 지적",SCRUTINY_FLAGGED,B4 §4 3순위 — 시의회 회의록(1차 공식기록),없음,"이 지적을 ""사업이 실패했다""거나 ""예산이 낭비됐다""로 확대 해석","기업의 정책 신뢰도 저하 후보에 처음으로 확보된 1차 원문 근거. 조사자 주장이 아니라 의회기록이라는 게 핵심 — 다만 이건 의회의 사업 타당성 의문이지 ""기업""의 신뢰도는 아니라서 후보 정의를 재검토해야 함을 보여주는 사례이기도 함",B4 §4 3순위(의회기록),PENDING,PENDING,UNREVIEWED
C3-020,6대 전략산업(현재 스코프),명시적 규모·KPI 불일치,항공정비산업(MRO) 클러스터 조성(IC-AIR-007),"대한항공 MRO 클러스터 2031년 전문인력 2,000명 상주 전망 vs 현재 영종구 공공 인력양성 연 20명(IC-AIR-004)",SCALE_MISMATCH_FLAGGED,B4 §4 2순위(E-19) — 100배 격차. 다만 2031년 전망치와 현재 교육규모를 같은 시점으로 비교하면 안 됨(B4 §6 경고),"없음(단, 대한항공 자체 채용·교육이 주력일 가능성을 반대가설로 병기해야 함)","""공공 인력양성이 100배 부족하다""고 단정 — 대한항공이 자체 교육을 주력으로 할 가능성을 배제하지 않은 채","계획서가 요구하는 ""명시적 대상·직무·KPI 불일치 사례""의 정답 사례. 숫자 자체는 원문에 명시돼 있어 판정이 쉽지만, 시점(2031 전망 vs 2026 현재)을 섞으면 과장이 되는 함정이 있음",B4 §4 2순위(E-19),PENDING,PENDING,UNREVIEWED
C3-021,6대 전략산업(현재 스코프),역할중첩 후보(가장 근접한 사례),글로벌 바이오 인력양성 허브(GTH-B) 생산공정 기본교육(IC-BIO-003),"K-NIBRT 바이오공정 교육과정 운영(IC-BIO-002) — 동일 시설·동일 기능, 대상 국적만 다름",OVERLAP_CANDIDATE(REFERENCED),"B3 evidence — consideration_status=REFERENCED, ""역할분담 근거 없음""",NOT_DUPLICATE(대상 국적 차이가 정책적으로 의도된 분리일 가능성),"""실제 역할중첩""으로 확정해서 부르기 — B가 22쌍 중 EXPLICIT 6건은 전부 동일사업 상하위관계이고, 서로 다른 사업 간 확정된 중복은 0건이라고 명시함","계획서가 요구하는 ""실제 역할중첩 사례"" 슬롯. 다만 정직하게 밝히면: 6대산업 스코프에서 ""확정된"" 역할중첩은 현재 0건이다(B4 §5). 이 사례가 22쌍 중 근거 강도가 가장 높은 REFERENCED 사례이며, 정답셋은 이걸 ""확정""이 아니라 ""후보""로 라벨링해야 한다는 것 자체가 검증 대상",B3 (IC-BIO-002↔IC-BIO-003),PENDING,PENDING,UNREVIEWED
C3-022,6대 전략산업(현재 스코프),유사하지만 중복이 아닌 음성사례(확정),"한국형 바이오공정·개발 전문인력양성센터 구축(IC-BIO-001, 시설)","K-NIBRT 바이오공정 교육과정 운영(IC-BIO-002, 교육) — 같은 K-NIBRT 사업명 아래 시설과 프로그램이 공존",NOT_DUPLICATE,"B3 evidence E-01 — consideration_status=EXPLICIT, ""시설구축-교육운영의 정상적 상하위 관계""",없음,이름이 같다는 이유로(K-NIBRT) 001과 002를 같은 사업의 중복 편성으로 판정,"계획서가 요구하는 ""유사하지만 중복이 아닌 음성사례""의 확정판. B3에서 유일하게 EXPLICIT 등급으로 확정된 비-중복 사례 — 시스템이 ""이름이 같다""만으로 오탐하지 않는지 검증하는 핵심 케이스. 다만 KPI(연 2,000명)가 001·002 중 어디 소속인지는 여전히 불분명(C3-019와 연결됨)","B3 (IC-BIO-001↔IC-BIO-002, E-01)",PENDING,PENDING,UNREVIEWED
