"request_id","strategic_industry","needed_field","why_needed","likely_owner","public_or_internal","legal_or_contract_issue","minimum_aggregate","fallback_proxy","priority"
"R-01","공통","6대 산업별 세부사업 예산 전량(2026 본예산)","B1의 budget 컬럼 대부분이 UNKNOWN. 산업 간 투입 비교가 불가능한 상태","인천시 각 소관과 / 지방재정365","PUBLIC","없음","세부사업명 + 편성액","지방재정365 세부사업별 세출현황 API로 인천시 + 9구 전수 덤프","P1"
"R-02","공통","2026-07-01 행정체제 개편 전후 자치단체코드 매핑표","중구·동구·서구 데이터를 제물포구·영종구·서해구·검단구로 연결하지 못하면 군구 단위 시계열과 지도가 전부 깨짐","행정표준코드관리시스템(code.go.kr), 행정안전부","PUBLIC","없음","구 코드 ↔ 신 코드 대응표","없음. 이 매핑 없이는 공간 분석 자체가 불가","P1"
"R-03","공통","인천지역인적자원개발위원회 '2026 인천지역 인력양성 기본계획' 원문","D-003(기술인재 유출), D-004(직무전환 수요)의 유일한 근거인데 언론 요약만 확보","인천지역인적자원개발위원회","PUBLIC","없음","산업별 인력수요 전망치","없음. 원문 필수","P1"
"R-04","공통","각 사업의 원문 사업계획서·시행계획·성과보고서","B1의 problem/kpi/reported_result가 대부분 UNKNOWN인 근본 원인. 완료기준 '원문 연결' 충족에 필수","인천시 각 소관과, 인천테크노파크","PUBLIC(정보공개청구)","일부 비공개 대상 가능","사업명·목표·대상·예산·성과지표 5개 항목","인천시의회 예산결산 검토보고서 및 회의록","P1"
"R-05","공통","사업별 수혜기업 명단(사업자등록번호 단위)","B3의 shared_company_pool을 추정이 아닌 사실로 판정. 산업 간 중복수혜도 확인","인천테크노파크, 비즈OK 운영기관","INTERNAL","개인정보보호법·영업비밀. 기업명 단위 거부 가능성 높음","사업×연도별 '2개 이상 사업 동시수혜 기업수'만 집계","공고별 선정결과 공개분만 부분 매칭","P2"
"R-06","바이오","K-NIBRT 수료생 취업률 및 인천 관내 취업 비율","연 2,000명 KPI가 '배출'인지 '취업연계'인지 판정. D-003 인력유출의 직접 입증/반증","연세대 K-NIBRT사업단, 보건복지부, 한국보건산업진흥원","INTERNAL","개인 취업정보(집계치는 가능)","연도별 수료생수, 6개월 내 취업률, 인천 소재 기업 취업 비율","고용보험 DB(EIS) 인천 바이오 KSIC 신규 피보험자 취득자수","P1"
"R-07","바이오","한국은행 인천본부 '인천 바이오 산업 동향과 지역경제 파급효과' 원문","D-102의 61.8% 지표 정의 확인. 언론보도만으로는 분모·분자 불명","한국은행 인천본부","PUBLIC","없음","해당없음(전문 공개)","없음","P1"
"R-08","바이오","바이오 커넥트 총사업비 및 세부 내역","신규사업 규모를 모르면 기존사업 감액분(1.3+1.0+0.8=3.1억)과의 관계를 판정 불가(E-04, E-09)","인천시 반도체바이오과","PUBLIC","없음","2026 본예산 세부사업별 편성액","지방재정365에서 사업명 검색","P1"
"R-09","반도체","레전드 50+ 2.0 대상 27개사 명단 및 1.0 성과평가","E-11(기업풀 중복)과 E-12(선행사업 고려) 동시 판정. 1.0 성과 없이 2.0 설계는 근거 부실","인천시 반도체바이오과, 인천테크노파크","INTERNAL","기업명 공개 거부 가능","업종별·규모별 기업수 분포, 1.0 성과지표 달성률","선정 공고문","P2"
"R-10","반도체","인천 팹리스 기업수 및 반도체 설계인력 규모","D-202가 '약점'이라는 서술뿐이라 공백 크기를 모름. 신규사업 규모 산정 불가","국가데이터처 MDIS, 한국반도체산업협회","PUBLIC(신청)","마이크로데이터 이용승인","인천 KSIC 26 세분류별 사업체수·종사자수","KOSIS 전국사업체조사 공개 통계표","P2"
"R-11","로봇","로봇랜드 산업단지 분양 실적 및 2023년 기업 수요조사 원문","D-301/302 판정. 미분양이면 로봇 수요 자체가 과대추정됐다는 역방향 신호가 됨","인천도시공사(iH)","INTERNAL","사업상 민감정보","분양률(%), 수요조사 응답기업수 및 희망면적","2026-12 예정 분양공고 결과 대기","P2"
"R-12","로봇","로보컵 2026 인천 개최 성과보고서","IC-ROB-005의 reported_result가 비어 있음. 일회성 행사인지 산업 파급인지 판정","인천시","PUBLIC","없음","방문객수, 참가기업수, 후속 계약·투자 건수","언론 사후보도","P3"
"R-13","디지털데이터","양자클러스터 지정 신청서 및 지역 양자기업 수요 근거","D-401을 POLICY_TREND로 분류했는데, 기업 수요 근거가 나오면 SUSTAINED로 재분류해야 함","인천시 데이터산업과","INTERNAL","공모 진행 중 비공개 가능","인천 소재 양자 관련 기업수 및 수요 응답","과기정통부 공모 공고문의 요건","P2"
