시행계획_과제명,부서명,담당부서,예산_세부사업명,final_status
인천 청년도약기지(취업아카데미),청년정책담당관,청년정책담당관,인천 청년도약기지(취업 아카데미),EXACT
드림나래(인천청년 면접복장 지원),,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
인천 청년 자격증 응시료 지원사업,청년정책담당관,청년정책담당관,인천 청년 자격증 응시료 지원,FUZZY
구직 활동 청년 지원을 위한 드림체크카드,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
청년도전 지원사업,청년정책담당관,청년정책담당관,청년도전 지원사업,EXACT
인천시 일자리센터 운영,,경제정책과,,NOT_PUBLICLY_VERIFIABLE
공공기관 청년 아르바이트 운영,,자치행정과,,NOT_PUBLICLY_VERIFIABLE
공공기관 청년 체험형 인턴 운영,,인천환경공단,,NOT_APPLICABLE_산하기관(인천환경공단)
국제기구 직업체험 프로그램,,국제협력과,,NOT_PUBLICLY_VERIFIABLE
국제기구 진출 아카데미,국제협력과,국제협력과,국제기구 진출 아카데미,EXACT
대학일자리플러스센터 운영지원,청년정책담당관,청년정책담당관,대학일자리플러스센터 운영 지원(고용노동부 직접),FUZZY
인천 청년 고용안심 지원,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
인천 재직청년 복지포인트 지원,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
지역혁신중심 대학지원체계(RISE) 추진,교육협력담당관,교육협력담당관,지역혁신중심 대학지원체계(RISE),FUZZY
인천 농어촌 청년 프로그램 지원,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
청년농업인 영농 정착 지원,농축산과,농축산과,청년농업인 영농정착 지원(직접),FUZZY
청년농업인 영농 스타트업 지원,농축산과,농축산과,청년농업인 영농 스타트업 지원,EXACT
청년농업인4-H연합회 활동지원,,농촌자원과,,NOT_PUBLICLY_VERIFIABLE
청년어업인 영어정착지원,농축산과,수산기술지원센터,청년농업인 영농정착 지원(직접),FUZZY
청년고용 우수기업 근로환경 개선지원,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
산업단지 노후공장 청년친화 리뉴얼,,산업입지과,,NOT_PUBLICLY_VERIFIABLE
신개념 세대융합 청년창업 지원,,산업창업정책과,,NOT_PUBLICLY_VERIFIABLE
대학주도형 청년창업 플랫폼 운영,,산업창업정책과,,NOT_PUBLICLY_VERIFIABLE
청년 소셜벤처기업 육성 사업,,산업창업정책과,,NOT_PUBLICLY_VERIFIABLE
청년창업 특례보증 및 이차보전,,소상공인정책과,,NOT_PUBLICLY_VERIFIABLE
청년 사회적경제기업 창업지원사업,,사회적경제과,,NOT_PUBLICLY_VERIFIABLE
스포츠산업 창업지원,체육진흥과,체육진흥과,스포츠산업 지원,FUZZY
인천스타트업파크 청년을 위한 창업지원,,경제자유구역청 혁신성장도시과,,NOT_PUBLICLY_VERIFIABLE
인천콘텐츠 코리아랩 운영,,문화정책과,,NOT_PUBLICLY_VERIFIABLE
"인천혁신모펀드 운영(청년벤처,창업기업투자유치 펀드지원사업)",,산업창업정책과,,NOT_PUBLICLY_VERIFIABLE
청년 해외진출기지 지원,,산업창업정책과,,NOT_PUBLICLY_VERIFIABLE
SW·AI기술 활용인력 양성교육,,AI혁신과,,NOT_PUBLICLY_VERIFIABLE
청년 콘텐츠 우수인재 양성,문화정책과,문화정책과,청년 콘텐츠 우수인재 양성,EXACT
친환경 자원순환센터 청년 교육 및 환경분야 실무인재 양성,,자원순환과,,NOT_PUBLICLY_VERIFIABLE
인천형 공공간호사 장학사업,보건의료정책과,보건의료정책과,인천형 공공간호사 장학사업,EXACT
의료 코디네이터 양성 및 지원사업,,보건의료정책과,,NOT_PUBLICLY_VERIFIABLE
지역형 마이스 전문인력 양성 프로그램,,관광마이스과,,NOT_PUBLICLY_VERIFIABLE
산업혁신 인재성장지원(해외연계),반도체바이오과,반도체바이오과,산업혁신인재성장지원(해외연계)사업(국가직접지원),FUZZY
화이트바이오산업 전문인력 양성,반도체바이오과,반도체바이오과,화이트바이오산업 전문인력 양성(국가직접지원),FUZZY
산학융합지구 촉진지원사업 대학생 현장맞춤형 교육,,항공과,,NOT_PUBLICLY_VERIFIABLE
반도체 패키징 분야 대학중점연구소 지원,반도체바이오과,반도체바이오과,반도체 패키징 분야 대학중점연구소 지원(국가직접지원),FUZZY
지역지능화 혁신인재 양성사업,,반도체바이오과,지역지능화 혁신인재 양성(국가직접지원),MATCH_국가직접
반도체 특성화대학 지원사업,,반도체바이오과,반도체 특성화대학 지원(국가직접지원),MATCH_국가직접
미래우주교육센터 구축,,항공과,,NOT_PUBLICLY_VERIFIABLE
항공정비 청년일자리 맞춤지원,,항공과,,NOT_PUBLICLY_VERIFIABLE
(재)인천인재평생교육진흥원 장학사업지원,,교육협력담당관,,NOT_PUBLICLY_VERIFIABLE
청년 인재육성 사업,,교육협력담당관,,NOT_PUBLICLY_VERIFIABLE
대학생 학자금대출 이자 지원,교육협력담당관,교육협력담당관,학자금대출 이자 지원,FUZZY
아이플러스 집드림_천원주택,,주택정책과,,NOT_PUBLICLY_VERIFIABLE
검단신도시 워라밸빌리지 특화구역 청년주거단지 조성,,인천도시공사,,NOT_APPLICABLE_산하기관(인천도시공사)
기존주택 매입 청년 임대사업,,주택정책과,,NOT_PUBLICLY_VERIFIABLE
청년층 임대주택 공급 확대 (통합공공임대주택),,주택정책과,,NOT_PUBLICLY_VERIFIABLE
인천글로벌캠퍼스 학생기숙사 증축사업,경제자유구역청 도시건축과,경제자유구역청 도시건축과,인천글로벌캠퍼스 기숙사 증축공사(계속비),FUZZY
인천형 청년월세 지원사업,청년정책담당관,청년정책담당관,인천형 청년월세 지원사업,EXACT
아이플러스 집드림_1.0 이자지원,,주택정책과,,NOT_PUBLICLY_VERIFIABLE
청년 주택임차보증금 이자 지원사업,청년정책담당관,청년정책담당관,청년 주택임차보증금 이자 지원,FUZZY
전세보증금반환보증 보증료 지원사업,주택정책과,주택정책과,전세보증금반환보증 보증료 지원사업,EXACT
인품 자립주택 운영,장애인복지과,아동정책과,장애인 자립주택 운영,FUZZY
천원 복(福)비 주택 중개보수 지원사업,,토지정보과,,NOT_PUBLICLY_VERIFIABLE
재직청년을 위한 '드림For청년통장',,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
청년 발달장애인 자산형성 지원사업,장애인복지과,장애인복지과,청년발달장애인 자산형성지원,FUZZY
청년내일저축계좌,,복지정책과,,NOT_PUBLICLY_VERIFIABLE
청년 재정 UP 클래스,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
가족돌봄청년 지원,,외로움정책과,新취약청년(가족돌봄) 전담지원 사업(보조),MATCH_부서개편
고립‧은둔 청년 지원,,외로움정책과,新취약청년(고립은둔) 전담지원 사업(보조),MATCH_부서개편
자립준비청년 자립수당 지급,아동정책과,아동정책과,자립준비청년 자립수당 지급,EXACT
자립지원전담기관 운영,아동정책과,아동정책과,자립지원전담기관 운영(자체),FUZZY
자립준비청년 자립정착금 지원,아동정책과,아동정책과,자립준비청년 자립정착금 지원,EXACT
희망디딤돌 인천센터 운영,,아동정책과,,NOT_PUBLICLY_VERIFIABLE
청년 사회서비스 사업단 운영,,복지정책과,,NOT_PUBLICLY_VERIFIABLE
