"policy_a","policy_b","cross_industry","shared_target","shared_function","explicit_reference","handoff","shared_company_pool","shared_kpi","timing_relation","consideration_status","evidence_id","note"
"IC-BIO-001","IC-BIO-002","NO","YES","YES","YES","YES","UNKNOWN","YES(연2,000명)","구축 후 운영(순차)","EXPLICIT","E-01","중복 아님. 시설구축-교육운영의 정상적 상하위 관계. 다만 연2,000명 KPI 귀속이 불분명"
"IC-BIO-002","IC-BIO-003","NO","PARTIAL(국내 vs 해외)","YES(바이오공정 교육)","REFERENCED","UNKNOWN","UNKNOWN","UNKNOWN","병행","REFERENCED","E-02","역할중첩 후보. 동일 시설·동일 기능이며 대상 국적만 다름. 역할분담 근거 없음"
"IC-BIO-002","IC-COM-002","NO","PARTIAL(구직자·재직자 vs 재학생)","YES(바이오 인력양성)","NO","UNKNOWN","UNKNOWN","NO","병행","NOT_PUBLICLY_VERIFIABLE","E-03","역할중첩 후보. 연세대 국제캠퍼스가 K-NIBRT 운영기관이면서 i-RISE 참여대학. 반대근거: 재원부처(산업부·복지부 vs 교육부)와 학위/비학위가 달라 정상 분업일 수 있음"
"IC-BIO-004","IC-BIO-007","NO","YES(인천 바이오기업)","YES(해외 네트워크·글로벌)","NO","UNKNOWN","LIKELY","UNKNOWN","동시(2026)","NOT_PUBLICLY_VERIFIABLE","E-04","최우선 검토 대상. 신규(004)가 글로벌 마케팅을 포함하는데 기존(007)은 1억 감액. 예산 이전인지 별개인지 원문 확인 필요"
"IC-BIO-004","IC-BIO-010","NO","PARTIAL","YES(기술검증·PoC)","NO","UNKNOWN","LIKELY","UNKNOWN","신규가 기존 위에 추가","NOT_PUBLICLY_VERIFIABLE","E-05","역할중첩 후보. 인천TP가 이미 시험분석·인증·시생산·실증 제공. 연결이면 시너지, 별도면 중복"
"IC-BIO-015","IC-BIO-004","NO","YES(인천 바이오 중소기업)","PARTIAL","NO","NOT_FOUND","UNKNOWN","UNKNOWN","종료 → 신규(시차)","NOT_PUBLICLY_VERIFIABLE","E-06","시차 후보. 015가 기술수요 10건 접수·4건 선정. 미선정 6건의 004 인계 여부가 신규사업 필요성 논증의 핵심"
"IC-BIO-012","IC-COM-002","NO","YES(인천대)","YES(산학협력 인재양성)","EXPLICIT","YES(LINC3.0 성과 기반 승계)","UNKNOWN","UNKNOWN","선행 종료 후 승계","EXPLICIT","E-07","중복 아님. 'LINC 3.0 성과를 바탕으로'라는 명시적 승계 서술 존재"
"IC-BIO-005","IC-BIO-016","NO","PARTIAL","YES(2026 바이오차이나 참가)","YES","UNKNOWN","UNKNOWN","UNKNOWN","동일 시점(2026-03)","EXPLICIT","E-08","중복 아님. 005 공고문에 바이오차이나 참가가 AC 과업으로 명시. 예산 이중계상만 확인"
"IC-BIO-006","IC-BIO-004","NO","UNKNOWN","UNKNOWN","NO","UNKNOWN","UNKNOWN","UNKNOWN","기존 감액 + 신규 편성 동시","NOT_PUBLICLY_VERIFIABLE","E-09","판단 보류. 006의 사업내용 자체가 미확인이라 대체·보완·무관 중 판정 불가"
"IC-SEM-001","IC-SEM-003","NO","PARTIAL","YES(첨단 패키징 R&D)","NO","UNKNOWN","UNKNOWN","UNKNOWN","동시(2026)","NOT_PUBLICLY_VERIFIABLE","E-10","역할중첩 후보. 생기원 협력(001)과 인하대 중점연구소(003)가 모두 첨단 패키징 R&D 거점을 표방. 반대근거: 생기원은 기업 기술개발, 인하대는 정부 R&D 과제 대응으로 기능이 다를 수 있음"
"IC-SEM-002","IC-SEM-007","NO","YES(후공정 기업)","PARTIAL","NO","UNKNOWN","LIKELY","UNKNOWN","동시(2026)","NOT_PUBLICLY_VERIFIABLE","E-11","레전드 50+ 2.0(27개사, 3억)과 첨단 패키징 R&D 강화가 같은 기업풀을 대상으로 할 가능성. 27개사 명단 필요"
"IC-SEM-002","UNKNOWN","NO","UNKNOWN","UNKNOWN","REFERENCED","UNKNOWN","UNKNOWN","UNKNOWN","1.0 → 2.0","REFERENCED","E-12","'레전드 50+ 2.0'이라는 명칭 자체가 선행사업 1.0의 존재를 함의. 1.0의 성과평가가 2.0 설계에 반영됐는지 확인 필요. 현재 1.0 자체를 B1에 등재하지 못함"
"IC-ROB-001","IC-ROB-003","NO","PARTIAL","YES(로봇랜드 활용)","NO","UNKNOWN","UNKNOWN","UNKNOWN","기존 위에 신규 비전 부가","NOT_PUBLICLY_VERIFIABLE","E-13","시차·재정의 후보. 로봇랜드 조성사업이 진행 중인 상태에서 '피지컬 AI 거점'이 100대 시정과제로 추가. 시장 교체(유정복→박찬대)에 따른 정책 재정의 가능성. 기존 계획 폐기인지 보완인지 불명"
"IC-ROB-001","IC-ROB-007","NO","YES","PARTIAL","REFERENCED","UNKNOWN","UNKNOWN","UNKNOWN","포함관계 추정","REFERENCED","E-14","로봇산업 혁신 클러스터가 로봇랜드의 하위 구성인지 별도 사업인지 불명. iH 자료상 병렬 서술"
"IC-ROB-005","IC-ROB-006","NO","PARTIAL","YES(로봇·AI 역량)","REFERENCED","YES(대회 대응 인재양성)","UNKNOWN","UNKNOWN","인재양성 선행(2025) → 대회(2026)","REFERENCED","E-15","정상적 사슬로 보임. 다만 로보컵 종료 후 인하대·인천대 지원이 계속되는지가 관건. 일회성이면 대회용 지출"
"IC-DIG-001","IC-BIO-009","YES","PARTIAL","YES(양자기술 응용)","NO","UNKNOWN","UNKNOWN","UNKNOWN","동시(2026)","NOT_PUBLICLY_VERIFIABLE","E-16","산업 교차 중첩 후보. 양자클러스터(디지털데이터과)와 양자바이오 실증(반도체바이오과)이 서로 다른 과에서 동시 추진. 부서 간 조율 근거 없음"
"IC-DIG-002","IC-DIG-001","NO","해당없음","YES(양자 전략)","NO","UNKNOWN","UNKNOWN","UNKNOWN","전략용역 명시이월 + 실증사업 선집행","NOT_PUBLICLY_VERIFIABLE","E-17","순서 역전 후보. 전략 수립 용역이 이월된 상태에서 클러스터 예산과 실증사업이 먼저 편성됨. 전략 없이 사업이 선행하는 구조"
"IC-AIR-003","IC-AIR-004","NO","YES(영종 미취업 청년)","YES(MRO 인력양성)","YES","YES(자격취득 → 현장실습 고도화)","UNKNOWN","UNKNOWN","상반기 → 하반기","EXPLICIT","E-18","중복 아님. 명시적 단계 고도화. 다만 소관이 중구에서 영종구로 바뀐 시점(2026-07-01 행정개편)과 겹쳐 사업 승계 문서 확인 필요"
"IC-AIR-001","IC-AIR-004","NO","PARTIAL","NO(투자유치 vs 인력양성)","NO","NOT_FOUND","UNKNOWN","UNKNOWN","MRO 클러스터 2031 준공 vs 인력양성 2026","NOT_PUBLICLY_VERIFIABLE","E-19","시차 후보 중 가장 큰 격차. 2031년 2,000명 수요에 대해 2026년 연 20명 규모 교육으로 대응 중. 규모 불일치가 명백하나, 대한항공 자체 채용·교육이 주력일 수 있다는 반대가설 필요"
"IC-AIR-006","IC-AIR-007","NO","PARTIAL","PARTIAL","NO","UNKNOWN","UNKNOWN","UNKNOWN","동시 계획","NOT_PUBLICLY_VERIFIABLE","E-20","둘 다 영종구 구정방향 문서의 병렬 항목이며 사업 실체가 확인되지 않음. 계획 단계 중복인지 판단 불가"
"IC-COM-002","IC-COM-003","NO","YES","YES","EXPLICIT","YES","UNKNOWN","UNKNOWN","기본계획 → 2차 공모","EXPLICIT","E-21","중복 아님. 상하위 관계 명확"
"IC-COM-005","UNKNOWN","YES","해당없음","해당없음","해당없음","UNKNOWN","UNKNOWN","UNKNOWN","2026-07-01 시행","EXPLICIT","E-22","사업 간 관계가 아니라 데이터 구조 경보. 행정체제 개편으로 IC-AIR-003(중구)과 IC-AIR-004(영종구)의 소관이 갈렸고, 로봇랜드 소재지도 서구에서 서해구로 바뀜. 모든 geography·자치단체코드 재매핑 필요"
