case_id,policy_id,check_type,field,gold_value,judge1,judge2
G01,P001,field,stage,교육훈련,,
G02,P001,field,target.age_min,18,,
G03,P001,field,target.age_max,39,,
G04,P001,field,region,인천,,
G05,P002,field,stage,,,
G06,P003,field,stage,구직지원,,
G07,P004,field,stage,구직지원,,
G08,P005,field,stage,구직지원,,
G09,P006,field,stage,구직지원,,
G10,P007,field,stage,매칭,,
G11,P009,field,stage,교육훈련,,
G12,P010,field,stage,일경험,,
G13,P001,abstention,budget,,,
G14,P004,abstention,outcome_kpi,,,
G15,P004:P005,overlap_label,,complementary,,
G16,P009,field,occupation,"['SW·AI']",,
G17,P001,field,target.residency,인천,,
G18,P001,field,target.employment_status,미취업,,
G19,P003,field,target.residency,,,
G20,P003,field,target.age_max,39,,
G21,P009,field,target.age_min,0,,
G22,P009,field,target.age_max,200,,
G23,P010,field,target.age_min,19,,
G24,P010,field,target.age_max,34,,
G25,P008,field,stage,채용지원,,
G26,P006,field,target.employment_status,미취업,,
G27,P007,field,target.employment_status,미취업,,
G28,P002,abstention,intervention,,,
G29,P005,abstention,outcome_kpi,,,
G30,P002,field,occupation,,,
G31,P001:P009,overlap_label,,intentional,,
G32,P003,abstention,application_period,있음,,
G33,P005,abstention,application_period,있음,,
G34,P008,abstention,budget,있음,,
G35,P001,abstention,output_kpi,있음,,
G36,P006,abstention,output_kpi,있음,,
G37,P005:P006,overlap_label,,harmful,,
