organization,department,team,role_title,public_name_if_any,statutory_function,decision_right,document_owned,public_contact,source_url,as_of,confidence,reform_stage
인천광역시,경제산업본부,반도체바이오과,과 소관 사무관/주무관,황태호;노승진;김영철(보도자료 서명자, 인사이동 가능),바이오·반도체 산업정책 발의·추진·기업지원사업 관리,사업계획 초안 작성 및 예산요구안 기안,보도자료;사업계획서,032-440-4297~4299,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000013968687&repDt=2026-01-19,2026-01-19,사실,개편전
인천광역시,미래산업본부(추정 명칭),반도체바이오과 또는 후속 조직(추정),미확인,미확인,바이오·반도체·뿌리산업 육성 전담(격상된 본부 소관으로 추정),미확인 - 8월 시행 후 사무분장 재확인 필요,미확인,미확인,https://www.sijung.co.kr/news/articleView.html?idxno=432409,2026-07-03,추론,개편후
인천광역시,글로벌도시정무부시장(직속),청년정책담당관,담당관,김세헌;이규석(보도자료 서명자, 인사이동 가능),청년정책 총괄·청년도약기지 등 청년취업사업 발의,청년정책조정위원회 상정안 작성 및 예산요구안 기안,청년정책 시행계획;보도자료,032-440-4172,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000014558504&repDt=2026-04-17,2026-04-17,사실,개편전
인천광역시,균형발전부시장(추정 - 글로벌도시정무부시장 개편 후 명칭),청년정책담당관(존치 추정),미확인,미확인,청년정책 총괄(소속만 이관 추정),미확인 - 8월 시행 후 재확인 필요,미확인,미확인,https://ic.newdaily.co.kr/site/data/html/2026/07/03/2026070300184.amp.html,2026-07-03,추론,개편후
인천광역시,기획조정실,교육협력담당관,담당관,박정숙;최혜경;이윤정(보도자료 서명자, 인사이동 가능),RISE(지역혁신중심 대학지원체계)사업 등 교육·대학 협력정책 발의,RISE위원회 상정안 작성 및 교육부 공모 대응 기안,RISE 기본계획;공모지침;위원회자료,032-440-2162~2165,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000013783801&curPage=1,2025-12-18,사실,개편전_및_개편후_존치추정
인천광역시,기획조정실,재정기획관-예산담당관,담당관,미확인(개인명 미확인),전 부서 예산편성지침 수립 및 예산요구서 심사·조정,본예산·추경 편성안 최종 조정 및 시장 결재 상신,예산편성지침;예산서;재정공시자료,032-440-1605,https://www.incheon.go.kr/open/OPEN030003,2025-08-28,사실,개편전_및_개편후_존치추정
인천광역시,경제산업본부,경제정책과,과 소관,미확인,일반 취업지원(인천시일자리센터) 주관,일자리센터 운영기관(인천TP) 지정 및 위탁 관리,사업안내 자료,1600-1982(인천TP 운영),https://youth.incheon.go.kr/youthpolicy/youthPolicyInfoDetail.do?poly_seq=287&pgno=13,미확인,사실,개편전
인천광역시(위원회),청년정책조정위원회,-,심의·조정기구(시장 소속),위원 명단 미확인,청년정책 기본계획·시행계획 심의·조정(조례 제9조 근거),기본계획·시행계획 확정 의결권,회의록;개최결과 안내,-,https://youth.incheon.go.kr/participation/committee.jsp,2026-02-09,사실,개편전_영향_미확인
인천광역시(위원회),인천광역시 라이즈(RISE)위원회,-,심의·조정기구,위원 명단 미확인,RISE사업 수행대학 선정 등 심의,수행대학 최종 선정 의결권,회의록;선정결과 보도자료,-,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012355746&repDt=2025-05-08,2025-05-08,사실,개편전_영향_미확인
인천시의회,행정안전위원회,-,상임위원회,-,조직개편 관련 조례안(행정기구 설치 조례 등) 심사,조례안 원안가결/수정가결/부결 의결권,회의록;조례안 심사보고서,-,https://www.joongboo.com/news/articleView.html?idxno=363732078,2026(약 3주 전 - 정확한 회의일자 원문 재확인 필요),사실,조직개편_자체에_대한_심의
